用户id,0,1,2,3,4,5,6,7,8
3201569584,92,0,0,1,0,0,0,0,0
3210383005,54,0,0,1,0,0,0,0,1
3214376145,220,0,0,0,0,1,0,0,0
3216969435,79,0,0,1,0,1,0,0,1
3221124933,621,0,0,3,0,0,0,1,0
3226223413,58,0,1,0,0,0,0,0,0
3276671605,68,1,0,0,0,0,0,0,0
3385291250,518,0,0,0,0,1,0,0,0
3404220052,87,0,1,0,0,0,0,0,1
3458633544,622,0,0,0,0,0,1,0,1
3484538392,213,1,0,1,0,0,0,1,1
3556828137,553,1,0,1,0,0,0,0,0
3566723235,729,2,1,2,0,0,0,4,2
3621049273,472,0,3,3,0,0,0,1,2
3627337957,222,1,0,1,0,0,0,0,0
3669462752,154,1,0,0,0,0,0,0,0
3681928253,107,0,0,0,0,0,0,0,1
3686243894,639,1,0,6,0,1,0,3,0
3687423002,26,0,0,1,0,0,0,0,0
3705106287,29,0,0,0,0,0,1,0,0
3721559683,796,2,0,2,0,2,1,2,0
3737694527,147,0,0,1,0,0,1,0,0
3747986174,498,0,2,3,0,0,1,0,2
3802299823,146,0,0,1,0,0,1,1,0
3805276521,431,0,1,0,0,1,1,0,0
3807254986,182,0,0,0,1,0,0,1,0
3807456470,36,0,0,0,0,1,0,0,0
3824806375,116,1,1,0,0,0,0,0,0
3832092607,105,0,0,1,0,0,0,0,2
3832106215,209,1,0,1,0,0,0,0,0
3839066554,472,5,6,9,0,1,0,3,4
3863836921,287,1,1,0,0,0,0,0,1
3884645256,318,0,0,0,0,1,0,0,0
3903338780,421,2,0,1,0,0,0,1,0
3946069999,120,1,0,2,0,1,0,1,0
3951807751,285,0,0,2,0,0,1,0,0
3961025529,133,0,0,0,1,0,0,0,0
3969830293,414,0,0,2,0,0,0,1,0
3969952990,127,0,0,2,0,0,0,0,1
3980168469,122,2,0,0,0,0,0,0,1
3983695200,386,0,0,0,0,0,0,0,2
3985188970,71,1,2,0,0,0,0,0,1
5024461673,476,1,2,2,0,1,0,0,1
5026372984,499,1,0,1,0,2,2,0,2
5027756359,596,0,1,0,0,0,0,0,2
5040826709,1058,7,4,4,0,1,0,11,4
5048397309,969,0,0,1,0,0,0,2,0
5054433349,127,0,0,3,0,0,0,0,0
5054638855,42,0,0,0,0,0,0,0,1
5060480106,142,0,1,0,0,0,0,1,0
5063815035,166,1,1,0,0,0,0,0,2
5065169831,139,0,0,0,0,0,0,0,1
5081075587,651,6,1,9,0,1,1,1,7
5092421187,138,0,0,1,0,0,0,0,0
5118257250,145,0,0,0,0,0,1,0,0
5122415415,244,1,0,1,0,0,0,1,1
5122497410,196,1,0,0,0,1,0,0,1
5123339885,272,1,0,1,0,0,0,2,0
5124988572,190,0,0,2,0,0,0,0,0
5127443308,1109,6,1,4,0,0,2,0,3
5128504504,193,0,0,1,0,0,0,0,1
5131331893,124,0,0,0,0,0,0,0,1
5144221546,177,2,1,2,0,0,1,0,0
5146480849,307,0,0,0,0,0,0,0,1
5170316972,118,1,0,2,0,0,0,0,0
5172943917,81,0,0,1,0,0,0,0,0
5173780460,227,0,0,1,0,0,0,0,0
5174473506,127,0,0,1,0,0,0,2,0
5186416257,116,0,0,0,0,0,0,2,0
5187286018,373,0,0,0,0,0,0,2,1
5199433861,228,2,0,2,0,0,0,1,0
5204658881,378,1,0,1,0,1,0,0,4
5206652217,42,1,0,0,0,0,0,0,0
5219826833,136,0,0,0,0,0,0,0,1
5223454365,206,0,0,1,0,0,0,0,1
5223722735,222,1,0,1,0,0,1,0,0
5225068640,46,0,1,0,0,0,0,0,0
5226401408,461,1,1,1,0,0,0,0,2
5227426075,510,0,0,1,0,0,0,0,0
5227861306,689,1,1,4,0,1,0,0,0
5228506213,820,4,1,6,0,1,0,0,2
5229785831,373,1,1,0,0,0,0,0,2
5232853656,526,0,0,2,0,0,0,2,1
5234475519,268,0,0,0,0,1,0,1,0
5238279314,643,10,0,3,0,0,0,0,2
5239742616,1244,1,1,3,0,0,1,0,3
5242670358,361,5,2,4,0,1,0,1,3
5242930332,120,0,0,1,0,0,0,0,0
5245476210,236,1,0,0,0,0,0,0,0
5247796685,93,0,0,2,0,0,0,0,0
5259367709,320,0,0,0,0,1,0,1,0
5266632459,333,0,0,1,0,1,2,0,1
5268383373,20,0,0,1,0,0,0,0,0
5269313231,27,0,0,0,0,0,0,1,0
5272683649,1219,12,3,17,0,0,2,1,10
5280008911,87,1,0,1,0,1,0,0,0
5281704095,207,1,0,1,0,0,0,0,0
5286233788,206,2,0,0,0,0,0,1,0
5287998142,871,1,1,8,0,0,0,1,1
5289880474,812,4,0,2,0,1,0,1,1
5305151597,201,0,1,1,0,0,0,0,1
5306991889,160,1,0,1,0,0,0,0,1
5309387810,800,2,3,4,1,0,0,0,0
5317524254,557,2,1,1,1,0,0,0,1
5319634294,1175,14,2,4,0,1,1,3,1
5325473614,894,1,0,1,0,0,1,1,3
5327252302,64,0,0,0,0,1,0,0,0
5342239609,62,0,0,1,0,0,0,0,0
5344430033,371,2,1,1,0,0,0,0,2
5350671581,243,0,0,1,0,0,0,0,0
5356459372,380,2,0,1,0,0,0,0,2
5362565283,409,1,1,1,0,2,0,0,0
5366007513,44,0,0,0,0,0,0,0,1
5369154231,188,0,0,1,0,0,0,0,0
5370587714,282,0,0,0,0,0,0,1,0
5373212783,251,1,0,1,0,0,0,1,0
5380201017,280,1,0,1,1,0,0,0,0
5384149883,1347,10,2,6,0,0,1,1,1
5385312087,240,3,0,1,0,1,0,0,0
5388771462,288,0,0,0,0,0,0,5,0
5397001656,371,3,1,1,0,1,0,0,1
5398981835,153,1,0,0,0,0,1,0,0
5403982418,419,0,0,2,0,0,0,1,0
5406062172,594,18,0,5,0,1,1,0,2
5417461629,406,2,3,6,0,0,0,1,2
5417485426,322,0,1,0,0,1,0,0,0
5417485426,322,0,1,0,0,1,0,0,0
5443895118,205,0,0,1,0,0,0,0,1
5444051679,402,0,0,4,0,1,0,0,0
5447690643,222,1,1,0,0,0,0,0,0
5455642674,105,0,0,1,0,0,0,0,0
5456531392,234,0,0,1,0,0,0,0,0
5459355880,56,2,1,0,0,0,0,0,0
5468390164,649,0,0,2,0,0,0,0,1
5482428116,49,1,0,1,0,0,0,0,0
5491881828,57,0,0,1,0,0,0,0,0
5492464633,291,2,0,1,0,0,0,1,2
5494326837,249,0,0,2,0,0,0,0,0
5495786469,107,1,0,2,0,0,0,0,0
5503289126,341,0,0,2,0,0,0,5,0
5511935542,33,0,1,0,0,0,0,0,0
5513190019,188,0,0,2,0,0,0,0,0
5513758976,143,1,0,1,0,0,0,1,1
5515131312,142,0,0,0,0,0,0,0,1
5515301211,375,2,0,1,0,0,0,1,0
5516997243,422,1,2,3,0,0,0,1,1
5522546998,695,0,0,1,1,1,0,2,6
5523936836,612,3,1,2,0,3,0,1,0
5528290674,267,0,0,0,0,0,0,0,1
5528566837,162,0,1,0,0,0,0,1,0
5529388203,158,0,2,1,0,0,1,0,1
5531344988,304,1,0,0,0,1,0,1,1
5532074167,209,0,1,0,0,1,0,0,1
5536589166,331,0,0,2,0,0,0,0,1
5536604741,301,1,0,0,0,0,0,0,0
5539622565,253,0,0,1,0,0,0,0,1
5539628893,49,0,0,0,0,0,0,0,1
5539629632,348,0,0,0,0,0,0,2,0
5552546450,89,0,0,1,0,0,0,0,1
5554392107,161,1,0,0,0,0,0,0,0
5556229258,993,5,1,2,0,1,3,2,3
5558092373,112,0,0,0,0,0,0,0,1
5567186153,306,1,0,0,0,0,0,0,3
5571531282,307,1,0,0,0,0,0,1,1
5572229760,221,1,0,2,0,0,0,1,0
5572555506,332,1,0,2,0,0,1,1,2
5574863560,29,0,0,1,0,0,0,0,0
5575149984,573,0,1,0,0,0,0,0,0
5580746060,282,0,0,3,0,0,1,0,1
5590552117,717,6,7,6,0,0,0,41,3
5590859332,515,3,0,2,0,0,0,0,2
5591075938,269,0,2,0,0,0,0,1,1
5594527115,113,1,0,0,0,0,0,0,0
5594529084,334,0,1,1,0,0,0,0,0
5596304181,64,0,1,0,0,0,0,0,0
5597044761,202,2,0,0,0,0,0,0,1
5598510462,456,5,0,1,0,0,0,0,2
5603594985,126,0,0,1,0,0,0,0,0
5604437432,359,1,0,2,0,0,0,0,0
5610585334,652,4,0,1,0,0,1,1,1
5613037743,265,0,0,1,0,0,0,0,0
5613996945,533,0,0,4,0,0,0,2,0
5614394281,1298,5,4,19,1,2,1,4,15
5620348397,57,0,0,0,0,0,0,1,0
5622746116,425,2,2,0,0,0,0,0,2
5627285010,874,5,2,1,0,2,1,3,2
5629054716,208,1,0,0,0,0,0,0,0
5629056981,168,0,0,1,0,0,0,0,0
5631556487,1277,4,0,10,0,1,0,2,2
5635552673,81,0,0,0,0,0,0,0,2
5641313920,331,0,1,3,0,1,0,0,0
5644446287,210,0,1,0,0,0,0,0,0
5644816648,372,0,1,0,0,0,0,1,1
5648858684,182,0,1,1,0,1,1,0,1
5650268361,81,0,0,1,0,0,0,0,1
5652208130,604,2,0,5,0,0,1,2,2
5653172354,628,2,1,0,0,1,0,0,1
5656284826,98,0,0,0,0,0,0,1,0
5656577697,325,1,0,0,0,0,1,0,3
5660049489,172,0,0,0,0,1,0,0,0
5660779066,47,0,0,0,0,0,0,0,1
5662394284,297,2,0,1,0,0,0,0,2
5663037931,54,0,0,0,0,0,0,1,0
5664646246,54,0,0,0,0,0,1,0,0
5665319755,115,0,0,1,0,0,0,0,0
5666067770,258,3,1,2,0,1,0,0,0
5666178815,1064,1,3,3,0,0,0,1,5
5667412223,226,0,0,2,0,0,0,0,1
5667560100,371,0,1,0,0,0,0,0,0
5668042412,74,0,0,1,0,0,0,0,0
5668900706,68,1,0,1,0,0,1,0,0
5670773361,296,0,0,1,0,0,0,0,2
5670938995,266,0,1,0,0,2,0,0,2
5671670558,374,3,1,2,0,0,0,0,2
5672278612,491,1,0,2,0,0,1,1,3
5678658014,108,1,0,0,0,0,0,0,1
5678707028,76,0,0,0,0,0,0,2,0
5680154774,102,0,0,1,0,1,0,0,0
5682511878,34,0,0,0,0,0,1,1,0
5684860918,89,0,0,2,0,0,0,0,0
5689339424,185,0,1,1,0,0,0,0,1
5693502111,209,1,0,1,0,1,0,1,0
5707028530,39,0,1,0,0,0,0,0,0
5712878083,148,1,0,0,0,0,0,0,0
5724434041,188,0,0,1,0,0,0,0,0
5730961277,698,0,0,2,0,0,0,0,1
5735054639,107,0,0,0,0,0,0,1,0
5735278162,318,1,0,1,0,0,0,0,0
5737151697,97,1,0,0,0,0,0,0,0
5737825978,309,1,0,0,0,0,0,0,0
5739062185,108,0,0,0,0,0,0,1,0
5744273167,1961,1,1,3,0,1,0,2,2
5751039913,279,1,0,0,0,0,1,0,1
5760486384,95,1,1,0,0,0,0,0,0
5766343217,493,2,1,1,0,1,0,0,1
5786409045,1241,12,4,6,0,1,1,0,3
5788576590,75,1,0,0,0,0,0,0,1
5789351882,219,0,1,0,0,0,0,0,0
5793051065,21,0,0,0,1,0,0,0,0
5794454655,183,0,0,0,0,1,0,0,0
5809996919,253,1,0,0,0,0,0,0,0
5822270316,935,1,0,0,0,0,0,0,0
5825650396,408,2,0,0,0,0,0,0,1
5826013759,73,0,0,0,0,0,0,0,1
5828694640,549,0,3,1,0,0,0,1,1
5834213006,88,1,0,0,0,0,0,0,0
5838718789,292,0,0,0,0,0,1,0,1
5847759628,409,0,0,1,0,0,0,0,1
5849072381,149,2,1,0,0,0,0,0,0
5851283354,288,0,0,0,0,0,0,0,1
5851895479,1097,0,0,2,0,1,0,0,0
5852480486,168,1,1,0,0,0,0,0,0
5854301398,158,1,1,0,0,0,0,0,1
5855624750,158,1,1,4,0,1,0,0,1
5856292304,106,0,0,0,0,0,0,2,1
5859242666,268,2,0,3,0,0,0,0,1
5861884187,276,3,0,4,0,0,0,0,0
5868347821,407,1,1,2,0,0,0,0,0
5869621031,318,3,1,1,0,0,0,0,1
5871334354,210,0,0,0,0,0,0,0,2
5873729396,377,0,0,2,0,0,0,0,0
5874414749,138,2,0,0,0,0,0,0,0
5880244243,878,3,0,1,0,0,0,0,0
5884798646,182,0,1,0,0,0,0,0,0
5886011398,408,3,1,3,0,0,0,0,3
5888687126,141,0,2,0,0,0,0,0,1
5888824938,615,4,1,0,1,0,0,0,1
5890749552,178,0,0,0,0,0,0,1,2
5891003974,299,0,1,0,1,0,0,1,0
5891290179,444,2,2,1,0,1,0,0,0
5901099710,498,5,0,5,0,1,0,0,4
5902585082,209,1,0,1,0,0,0,0,0
5904318091,70,0,0,0,0,1,0,0,1
5905758416,469,0,0,3,0,0,0,1,0
5906721180,196,1,0,1,0,0,0,0,0
5926462376,504,3,0,2,0,0,1,0,1
5933396854,104,0,0,1,0,0,0,1,0
5940303381,60,2,0,3,0,0,0,0,1
5941498609,33,0,0,1,0,0,0,0,0
5945626658,294,0,1,1,0,0,0,1,0
5948779257,71,0,0,0,0,1,0,0,0
5951365006,274,1,4,5,0,1,0,1,1
5963305804,249,1,0,0,0,0,0,0,0
5963809026,127,0,0,0,0,0,0,1,0
5970590745,756,1,2,2,0,0,0,3,5
5977150927,314,1,0,2,0,1,0,0,1
5986053647,99,0,1,0,0,0,0,1,0
5986222143,207,0,0,1,0,0,0,1,0
5986224439,362,2,0,2,0,0,0,0,0
5992402355,137,1,0,1,0,0,0,1,1
5993556654,298,0,0,0,0,1,0,0,0
5997364615,94,0,1,0,0,0,0,0,0
6003954889,63,1,0,0,0,0,0,0,0
6012436605,47,1,0,0,0,0,0,0,0
6015653652,225,2,2,2,1,0,1,0,1
6016036575,96,0,0,0,0,1,0,0,0
6016592749,389,0,1,0,0,2,0,1,0
6016747828,171,0,0,1,0,0,1,0,1
6026857552,77,2,0,1,0,0,0,0,0
6028272753,147,0,0,1,0,0,0,0,0
6031858320,22,0,0,0,0,0,0,0,1
6033494647,557,0,2,2,0,0,0,2,2
6035559853,1137,2,2,6,1,2,0,3,4
6037105784,125,0,1,0,0,0,0,0,0
6037110986,347,0,2,0,0,0,0,0,1
6039155220,1336,1,2,4,0,0,1,2,1
6039472325,108,1,1,0,0,0,0,0,0
6041672464,262,4,0,2,0,1,0,3,0
6042501153,355,0,0,1,0,0,0,0,0
6049842997,188,2,0,0,0,0,0,0,0
6051477567,179,1,0,1,0,0,0,0,1
6053954475,292,0,1,1,0,0,1,1,0
6055424820,76,1,0,0,0,0,0,0,0
6056248608,284,1,0,0,0,0,0,0,0
6056384139,240,1,0,2,0,2,0,0,0
6056596476,762,1,0,0,0,0,0,0,1
6062527613,57,1,0,0,0,0,0,0,0
6065886223,220,0,0,0,0,0,0,0,2
6081005391,488,0,0,2,0,1,0,0,0
6082001771,392,1,0,0,0,0,0,1,1
6085406660,109,0,0,0,0,0,0,0,5
6088348388,478,0,0,1,0,1,0,0,1
6104891668,381,2,0,0,0,0,0,0,0
6109687580,547,2,1,1,0,0,0,2,0
6112695345,192,0,0,1,0,0,0,0,1
6118693330,89,0,1,1,0,0,0,0,0
6120472500,606,0,1,0,0,3,0,0,0
6123728854,178,0,1,0,0,0,0,0,0
6128264030,306,1,0,2,0,0,0,0,0
6128775106,394,1,0,2,0,1,0,0,1
6131507289,86,0,0,0,0,0,0,0,1
6135048712,406,2,0,1,0,2,0,0,1
6138408569,185,0,0,2,0,1,0,0,1
6167939889,147,0,0,0,0,0,0,0,1
6188761029,46,0,0,0,0,1,0,0,0
6189510768,159,0,0,0,0,0,0,0,1
6196202904,335,0,1,0,0,0,0,1,0
6204582046,55,0,1,1,0,0,0,0,0
6205441585,123,0,0,3,0,0,0,0,0
6205881105,195,0,0,0,0,0,1,0,1
6228367391,283,1,0,0,0,0,0,0,0
6228936179,149,0,0,1,0,0,0,0,0
6229317578,360,0,0,2,0,0,0,0,0
6240422638,184,1,0,0,0,0,0,0,0
6253229614,148,0,4,2,0,0,0,0,2
6257490772,635,0,1,2,0,0,0,0,1
6263240667,507,0,3,2,0,0,0,0,1
6266690843,370,1,0,0,0,0,0,0,0
6268556136,330,0,0,0,0,0,0,1,2
6273169470,141,1,0,2,0,0,0,2,0
6273348845,142,0,1,0,0,0,1,0,0
6275310442,160,0,0,1,0,0,0,0,1
6275337760,236,1,0,2,0,0,0,0,2
6284021444,34,0,0,0,0,0,0,1,0
6289082953,283,0,0,1,0,0,0,0,0
6291398593,82,4,0,0,0,0,0,0,0
6292815183,412,0,0,1,0,0,0,0,1
6294218576,415,1,0,3,0,0,1,0,2
6294667818,354,1,0,2,0,0,0,0,0
6294895976,770,1,2,3,0,0,1,1,2
6296603912,68,0,1,0,0,0,0,2,1
6303375973,432,2,2,1,0,0,0,1,0
6311192777,59,1,0,1,0,1,0,0,0
6314479132,176,0,2,2,0,0,0,0,0
6316111952,70,0,1,0,0,0,0,0,0
6316786740,183,2,0,0,0,0,0,0,1
6319395707,358,1,1,3,0,0,1,0,0
6319632108,164,0,0,1,0,0,0,0,0
6321709347,88,0,2,0,0,0,0,0,0
6322076387,84,0,0,0,0,0,1,0,1
6322085910,44,0,0,1,0,0,0,0,0
6322198528,117,0,0,1,0,0,0,0,0
6325041836,172,2,0,3,0,0,0,1,0
6326095752,418,0,0,2,0,0,0,0,0
6328591432,290,5,1,1,0,1,0,2,2
6333687803,203,0,0,1,0,1,0,0,0
6335353472,845,1,3,4,0,2,0,1,0
6336575519,167,3,0,0,0,0,0,0,2
6336738004,41,0,0,0,0,0,0,0,1
6336775600,155,0,0,3,0,0,0,0,0
6339975245,133,0,0,1,0,0,0,1,0
6346292912,124,1,0,1,0,0,0,0,1
6346717993,643,1,0,0,0,0,0,0,1
6351893808,214,2,0,1,1,0,0,1,2
6362634911,183,0,0,4,0,1,0,0,0
6369289684,47,0,0,1,0,0,0,1,0
6372036991,175,1,0,2,1,0,1,1,0
6372622979,74,0,1,0,0,0,0,0,0
6375586179,18,0,0,1,0,0,0,0,0
6376837248,311,1,0,0,0,0,0,0,0
6380265488,85,0,0,1,0,0,0,0,0
6381090469,124,1,0,1,0,0,0,0,0
6386799106,435,1,0,4,0,0,1,0,0
6387304275,196,0,0,0,0,0,0,0,1
6394463889,181,0,0,1,0,0,0,0,0
6396931070,67,0,0,1,0,0,0,0,0
6400201860,144,2,0,0,0,0,1,0,0
6401736502,110,0,0,0,0,0,0,0,3
6403339285,299,4,1,3,0,0,0,0,1
6405267090,285,0,0,1,0,0,0,0,0
6408481076,87,0,0,1,0,0,0,0,1
6410982160,171,1,0,0,0,0,0,0,0
6413376557,503,0,0,3,0,0,0,2,3
6414380473,79,0,1,0,0,0,0,0,0
6424006844,409,2,0,3,0,1,0,1,0
6426826684,455,2,1,0,0,0,1,0,0
6431352005,275,0,0,1,0,0,0,0,1
6436189982,669,5,1,2,0,1,0,2,0
6441939738,74,0,0,0,0,0,1,0,0
6445853368,137,1,0,0,0,0,0,0,0
6449015518,72,2,0,3,0,0,0,0,0
6449362306,72,0,0,1,0,0,0,0,1
6459652289,384,6,2,1,0,0,0,0,0
6460729368,69,0,0,0,0,0,0,0,1
6461165718,381,1,1,2,0,0,0,0,2
6473291265,179,0,0,2,0,1,0,0,0
6474347838,102,0,0,1,0,2,0,0,0
6475448940,294,0,1,2,0,0,0,0,1
6478052235,59,0,0,0,0,0,0,0,1
6481252740,259,0,0,0,0,0,0,0,2
6483641556,380,2,0,2,0,0,0,1,1
6491428429,190,0,1,0,0,1,0,0,1
6493099173,593,0,0,0,0,0,0,0,1
6501963274,294,0,0,1,0,0,0,0,1
6505152640,483,0,1,6,0,0,0,3,1
6505178873,112,1,3,1,0,0,0,0,0
6527766576,681,5,1,2,0,1,2,1,2
6528359797,326,0,0,2,0,0,0,0,0
6532247263,420,1,2,1,0,0,0,0,1
6542164064,568,3,7,3,0,0,0,0,1
6542885780,289,0,0,0,0,0,0,0,1
6554129971,521,7,0,8,0,0,0,2,0
6559679402,283,1,0,0,0,0,2,1,3
6570739341,180,1,1,2,0,0,0,0,1
6573663304,73,1,0,0,0,0,0,0,0
6577364883,197,0,0,1,0,0,0,0,0
6577941144,137,1,1,0,0,0,0,0,4
6587152080,276,1,0,1,0,0,0,1,1
6587732901,100,1,0,0,0,1,1,0,0
6588559821,60,1,0,0,0,0,0,0,1
6589865376,147,0,0,1,0,0,0,0,0
6592000279,32,0,0,0,0,0,0,1,0
6601339234,418,0,0,1,0,0,0,0,1
6601621406,71,0,0,1,0,0,0,0,0
6602557813,42,2,1,2,0,0,1,0,0
6612075889,711,0,1,0,0,0,0,0,0
6612814761,215,1,1,1,0,0,0,0,0
6616566261,304,4,0,1,0,0,1,1,0
6619051160,554,3,1,4,0,0,0,1,1
6630535479,297,0,0,1,0,1,1,0,0
6631138494,376,6,0,0,0,0,0,1,1
6640637871,372,7,0,0,0,0,0,1,2
6671657953,90,1,0,1,0,0,0,0,0
6673312488,971,4,1,9,1,1,0,1,0
6694102889,1768,3,0,1,0,0,0,0,0
6709083088,356,1,2,1,0,0,0,0,0
6710582710,218,1,0,0,0,0,0,0,0
6739629821,1904,1,0,0,0,0,0,0,5
6741401401,120,0,0,2,0,0,1,0,0
6749672658,329,2,0,0,0,0,0,1,1
6753487837,446,3,0,0,0,2,0,1,0
6756547002,365,1,0,2,0,0,0,0,1
6764942518,124,1,0,1,0,0,0,0,1
6774532028,170,0,1,0,0,0,0,0,0
6775203978,119,0,0,0,0,0,0,0,1
6786215344,201,0,0,2,0,0,0,1,2
6795298431,499,2,1,1,0,0,0,1,1
6800655854,195,2,0,0,0,0,0,0,1
6808098100,348,1,0,1,1,0,0,0,2
6811553296,134,0,0,1,0,0,0,1,0
6816044960,558,1,0,3,0,0,1,0,0
6853674773,177,1,0,0,0,0,0,0,0
6861040420,618,3,3,2,0,1,2,0,3
6867576503,46,0,1,0,0,0,0,0,0
6884916198,256,1,2,1,0,0,0,2,0
6890270489,324,0,0,1,0,0,0,0,0
6893911487,116,1,0,1,0,0,0,0,0
6896423093,136,2,0,3,0,0,0,0,0
6911252872,187,0,0,0,0,0,1,0,0
6925264177,211,1,1,7,0,0,0,0,0
6929217558,96,0,1,1,0,1,0,0,0
6934773874,524,4,1,0,0,1,1,0,0
6973285789,208,1,2,2,0,0,0,1,0
6979239976,344,1,0,0,0,0,0,0,2
6985053180,297,0,0,1,0,0,0,2,0
6989422889,651,2,1,4,0,0,0,1,2
6994289377,383,1,1,0,0,1,0,0,1
6999405456,135,2,0,0,0,0,0,0,0
7003101589,913,4,5,6,0,1,0,1,0
7012892017,114,0,1,2,0,0,0,1,0
7020620424,620,0,1,1,0,2,0,0,0
7021178665,1374,9,3,5,0,2,1,0,4
7034730429,69,0,0,0,0,0,0,1,0
7036430394,193,2,0,0,0,0,0,1,0
7043108719,65,0,0,0,0,0,0,0,1
7043629426,678,13,4,4,0,1,4,1,2
7049611098,97,1,0,0,0,0,0,0,1
7070122894,156,1,1,0,0,0,0,0,0
7087364485,129,1,0,1,0,0,0,0,1
7112700951,272,0,0,1,0,1,0,1,0
7152964396,374,2,1,3,0,0,0,1,1
7157867102,61,2,0,2,0,0,0,0,0
7161781175,78,3,0,1,0,0,0,0,0
7180847710,150,0,0,0,1,1,0,0,1
7184236165,94,0,1,2,0,0,0,0,0
7185410982,319,1,2,2,0,0,0,0,1
7187388294,207,1,0,0,0,0,0,0,1
7190749958,300,2,0,0,0,0,0,0,0
7196506327,108,1,0,1,0,0,0,0,0
7197208323,469,1,0,1,0,0,0,0,1
7203734164,583,2,3,3,0,0,0,2,2
7211029002,167,1,0,0,0,1,0,0,0
7213181726,89,1,0,0,0,0,0,0,0
7213260346,366,0,1,2,0,1,1,1,0
7233807745,89,0,0,1,0,0,0,0,0
7244316392,260,1,0,2,0,0,1,0,0
7250130372,161,0,0,0,0,0,0,0,1
7253864960,255,5,0,0,0,0,0,0,2
7257602924,357,0,0,1,0,0,1,1,0
7260036850,85,0,0,1,0,0,0,0,1
7267505107,59,0,0,0,0,0,0,0,1
7271823350,42,0,0,0,0,0,0,0,1
7278985091,103,0,0,0,0,0,0,0,1
7291146483,88,0,0,1,0,0,0,0,0
7292080862,149,0,1,0,0,0,0,0,0
7295611181,82,0,0,1,0,0,0,0,0
7295941778,536,4,2,3,0,1,0,1,3
7298651536,325,0,1,2,0,0,1,1,1
7309838245,335,0,5,1,0,0,0,0,0
7309843436,99,0,0,1,0,0,0,0,0
7311105397,786,3,3,3,0,0,1,1,2
7311548960,361,1,3,1,1,0,1,0,1
7312142395,168,7,2,5,0,2,0,0,2
7315010569,76,0,0,1,0,0,0,0,0
7315562830,79,0,1,0,0,0,0,0,1
7319112712,96,0,0,0,0,1,0,1,1
7327147411,717,2,0,4,0,2,1,2,1
7332752363,77,0,1,0,0,0,0,0,0
7340227139,104,0,0,0,1,0,0,0,1
7345057369,588,3,1,2,0,0,0,52,7
7358844129,216,1,0,1,0,0,0,0,2
7360392627,259,2,2,3,0,0,1,1,1
7362323016,244,0,0,0,0,0,1,0,1
7369593632,152,1,1,0,0,0,0,0,0
7375008020,734,2,1,2,0,0,0,1,5
7390860952,341,1,0,1,0,1,1,0,1
7397162334,174,0,0,1,0,2,0,0,2
7399958115,1155,4,4,6,0,3,1,2,2
